"ref_area.label","indicator.label","source.label","time","obs_value","note_indicator.label","note_source.label"
"France","Trade union density rate (%)","OS - Estimations based on self-reported membership and financial statistics of confederations and independent unions","2017",9,"Trade union membership coverage: Adjusted for the right to unionize",
"France","Trade union density rate (%)","OS - Estimations based on self-reported membership and financial statistics of confederations and independent unions","2016",11,"Trade union membership coverage: Adjusted for the right to unionize",
"France","Trade union density rate (%)","OS - Estimations based on self-reported membership and financial statistics of confederations and independent unions","2015",9.03,"Trade union membership coverage: Adjusted for the right to unionize",
"France","Trade union density rate (%)","OS - Estimations based on self-reported membership and financial statistics of confederations and independent unions","2014",9.03,"Trade union membership coverage: Adjusted for the right to unionize",
"France","Trade union density rate (%)","OS - Estimations based on self-reported membership and financial statistics of confederations and independent unions","2013",11.31,"Trade union membership coverage: Adjusted for the right to unionize",
"France","Trade union density rate (%)","OS - Estimations based on self-reported membership and financial statistics of confederations and independent unions","2012",9.13,"Trade union membership coverage: Adjusted for the right to unionize",
"France","Trade union density rate (%)","OS - Estimations based on self-reported membership and financial statistics of confederations and independent unions","2011",9.11,"Trade union membership coverage: Adjusted for the right to unionize",
"France","Trade union density rate (%)","OS - Estimations based on self-reported membership and financial statistics of confederations and independent unions","2010",10.76,"Trade union membership coverage: Adjusted for the right to unionize",
"United Kingdom","Trade union density rate (%)","LFS - Labour Force Survey","2019",23.36,"Trade union membership coverage: Adjusted for the right to unionize",
"United Kingdom","Trade union density rate (%)","LFS - Labour Force Survey","2018",23.16,"Trade union membership coverage: Adjusted for the right to unionize",
"United Kingdom","Trade union density rate (%)","LFS - Labour Force Survey","2017",23.14,"Trade union membership coverage: Adjusted for the right to unionize",
"United Kingdom","Trade union density rate (%)","LFS - Labour Force Survey","2016",23.33,"Trade union membership coverage: Adjusted for the right to unionize",
"United Kingdom","Trade union density rate (%)","LFS - Labour Force Survey","2015",24.57,"Trade union membership coverage: Adjusted for the right to unionize",
"United Kingdom","Trade union density rate (%)","LFS - Labour Force Survey","2014",24.94,"Trade union membership coverage: Adjusted for the right to unionize",
"United Kingdom","Trade union density rate (%)","LFS - Labour Force Survey","2013",25.51,"Trade union membership coverage: Adjusted for the right to unionize",
"United Kingdom","Trade union density rate (%)","LFS - Labour Force Survey","2012",25.89,"Trade union membership coverage: Adjusted for the right to unionize",
"United Kingdom","Trade union density rate (%)","LFS - Labour Force Survey","2011",25.72,"Trade union membership coverage: Adjusted for the right to unionize",
"United Kingdom","Trade union density rate (%)","LFS - Labour Force Survey","2010",26.39,"Trade union membership coverage: Adjusted for the right to unionize",
"Georgia","Trade union density rate (%)","ADM-RWO - Trade unions records","2019",17.88,,
"Georgia","Trade union density rate (%)","ADM-RWO - Trade unions records","2016",19.59,,
"Ghana","Trade union density rate (%)","OS - Estimations based on administrative data","2019",16.84,,
"Ghana","Trade union density rate (%)","OS - Estimations based on administrative data","2018",17.05,,
"Ghana","Trade union density rate (%)","OS - Estimations based on administrative data","2017",17.43,,
"Ghana","Trade union density rate (%)","OS - Estimations based on administrative data","2016",17.69,,
"Ghana","Trade union density rate (%)","OS - Estimations based on administrative data","2015",16.9,,
"Ghana","Trade union density rate (%)","OS - Estimations based on administrative data","2014",15.62,,
"Ghana","Trade union density rate (%)","OS - Estimations based on administrative data","2013",15.51,,
"Ghana","Trade union density rate (%)","OS - Estimations based on administrative data","2012",15.32,,
"Ghana","Trade union density rate (%)","OS - Estimations based on administrative data","2011",15.12,,
"Ghana","Trade union density rate (%)","OS - Estimations based on administrative data","2010",14.87,,
"Gambia","Trade union density rate (%)","LFS - Labour Force Survey","2018",13.89,,
"Gambia","Trade union density rate (%)","LFS - Labour Force Survey","2012",15.07,,
"Greece","Trade union density rate (%)","Other - Special data collection","2016",18.97,"Trade union membership coverage: Adjusted for the right to unionize",
"Greece","Trade union density rate (%)","Other - Special data collection","2013",23.1,"Trade union membership coverage: Adjusted for the right to unionize",
"Greece","Trade union density rate (%)","Other - Special data collection","2010",22.23,"Trade union membership coverage: Adjusted for the right to unionize",
"Guatemala","Trade union density rate (%)","LFS - Monthly Employment and Income Survey","2019",3.15,,
"Guatemala","Trade union density rate (%)","LFS - Monthly Employment and Income Survey","2018",3.33,,
"Guatemala","Trade union density rate (%)","LFS - Monthly Employment and Income Survey","2017",3.25,,
"Guatemala","Trade union density rate (%)","LFS - Monthly Employment and Income Survey","2016",2.82,,
"Guatemala","Trade union density rate (%)","LFS - Monthly Employment and Income Survey","2015",2.6,,
"Guatemala","Trade union density rate (%)","LFS - Monthly Employment and Income Survey","2014",2.72,,
"Guatemala","Trade union density rate (%)","LFS - Monthly Employment and Income Survey","2013",2.28,,
"Guatemala","Trade union density rate (%)","LFS - Monthly Employment and Income Survey","2012",2.69,,
"Guatemala","Trade union density rate (%)","LFS - Monthly Employment and Income Survey","2011",2.87,,
"Guatemala","Trade union density rate (%)","LFS - Monthly Employment and Income Survey","2010",3.36,,
"Guyana","Trade union density rate (%)","LFS - Labour Force Survey","2018",14.01,,
"Hong Kong, China","Trade union density rate (%)","ADM-RWO - Trade unions records","2016",26.06,,
"Hong Kong, China","Trade union density rate (%)","ADM-RWO - Trade unions records","2015",25.3,,
"Hong Kong, China","Trade union density rate (%)","ADM-RWO - Trade unions records","2014",24.3,,
"Hong Kong, China","Trade union density rate (%)","ADM-RWO - Trade unions records","2013",24.86,,
"Hong Kong, China","Trade union density rate (%)","ADM-RWO - Trade unions records","2012",24.8,,
"Hong Kong, China","Trade union density rate (%)","ADM-RWO - Trade unions records","2011",24.67,,
"Hong Kong, China","Trade union density rate (%)","ADM-RWO - Trade unions records","2010",24.63,,
"Honduras","Trade union density rate (%)","HS - Continous Multi-Purpose Household Survey","2017",2.57,,
"Honduras","Trade union density rate (%)","HS - Continous Multi-Purpose Household Survey","2016",1.83,,
"Honduras","Trade union density rate (%)","HS - Continous Multi-Purpose Household Survey","2015",3.05,,
"Honduras","Trade union density rate (%)","HS - Continous Multi-Purpose Household Survey","2014",3.51,,
"Honduras","Trade union density rate (%)","HS - Continous Multi-Purpose Household Survey","2013",2.69,,
"Honduras","Trade union density rate (%)","HS - Continous Multi-Purpose Household Survey","2012",3.93,,
"Honduras","Trade union density rate (%)","HS - Continous Multi-Purpose Household Survey","2011",3.51,,
"Honduras","Trade union density rate (%)","HS - Continous Multi-Purpose Household Survey","2010",2.96,,
"Croatia","Trade union density rate (%)","OE - Trade Union Records and collective bargaining coverage estimations","2018",20.76,,
"Croatia","Trade union density rate (%)","OE - Trade Union Records and collective bargaining coverage estimations","2017",21.99,,
"Croatia","Trade union density rate (%)","OE - Trade Union Records and collective bargaining coverage estimations","2015",24.01,,
"Croatia","Trade union density rate (%)","OE - Trade Union Records and collective bargaining coverage estimations","2014",26.46,,
"Croatia","Trade union density rate (%)","OE - Trade Union Records and collective bargaining coverage estimations","2013",29.53,,
"Croatia","Trade union density rate (%)","OE - Trade Union Records and collective bargaining coverage estimations","2012",27.14,,
"Haiti","Trade union density rate (%)","HIES - Households Living Conditions Survey","2012",1.72,,
"Hungary","Trade union density rate (%)","OS - Estimations based on Administrative data, union confederations' self-reported membership and LFS data","2019",8.65,"Trade union membership coverage: Adjusted for the right to unionize",
"Hungary","Trade union density rate (%)","OS - Estimations based on Administrative data, union confederations' self-reported membership and LFS data","2018",8.29,"Trade union membership coverage: Adjusted for the right to unionize",
"Hungary","Trade union density rate (%)","OS - Estimations based on Administrative data, union confederations' self-reported membership and LFS data","2016",9.18,"Trade union membership coverage: Adjusted for the right to unionize",
"Hungary","Trade union density rate (%)","OS - Estimations based on Administrative data, union confederations' self-reported membership and LFS data","2015",9.03,"Trade union membership coverage: Adjusted for the right to unionize",
"Hungary","Trade union density rate (%)","OS - Estimations based on Administrative data, union confederations' self-reported membership and LFS data","2014",11.01,"Trade union membership coverage: Adjusted for the right to unionize",
"Hungary","Trade union density rate (%)","OS - Estimations based on Administrative data, union confederations' self-reported membership and LFS data","2012",12.53,"Trade union membership coverage: Adjusted for the right to unionize",
"Indonesia","Trade union density rate (%)","OS - Estimations based on Administrative data","2019",12.99,,
"Indonesia","Trade union density rate (%)","OS - Estimations based on Administrative data","2018",14.32,,
"Indonesia","Trade union density rate (%)","OS - Estimations based on Administrative data","2017",14.37,,
"Indonesia","Trade union density rate (%)","OS - Estimations based on Administrative data","2016",17.88,,
"Indonesia","Trade union density rate (%)","OS - Estimations based on Administrative data","2014",6.28,,
"Indonesia","Trade union density rate (%)","OS - Estimations based on Administrative data","2012",7,,
"India","Trade union density rate (%)","OS - Estimations based on the Employment-Unemployment Surveys","2017",19.8,,
"India","Trade union density rate (%)","OS - Estimations based on the Employment-Unemployment Surveys","2013",22.75,,
"India","Trade union density rate (%)","OS - Estimations based on the Employment-Unemployment Surveys","2012",11.84,,
"India","Trade union density rate (%)","OS - Estimations based on the Employment-Unemployment Surveys","2010",10.27,,
"Ireland","Trade union density rate (%)","LFS - Quarterly National Household Survey","2020",25.4,"Trade union membership coverage: Adjusted for the right to unionize",
"Ireland","Trade union density rate (%)","LFS - Quarterly National Household Survey","2019",24.85,"Trade union membership coverage: Adjusted for the right to unionize",
"Ireland","Trade union density rate (%)","LFS - Quarterly National Household Survey","2018",24.03,"Trade union membership coverage: Adjusted for the right to unionize",
"Ireland","Trade union density rate (%)","LFS - Quarterly National Household Survey","2017",24.15,"Trade union membership coverage: Adjusted for the right to unionize",
"Ireland","Trade union density rate (%)","LFS - Quarterly National Household Survey","2016",23.29,"Trade union membership coverage: Adjusted for the right to unionize",
"Ireland","Trade union density rate (%)","LFS - Quarterly National Household Survey","2015",25.2,"Trade union membership coverage: Adjusted for the right to unionize",
"Ireland","Trade union density rate (%)","LFS - Quarterly National Household Survey","2014",26.05,"Trade union membership coverage: Adjusted for the right to unionize",
"Ireland","Trade union density rate (%)","LFS - Quarterly National Household Survey","2013",28.36,"Trade union membership coverage: Adjusted for the right to unionize",
"Ireland","Trade union density rate (%)","LFS - Quarterly National Household Survey","2012",29.99,"Trade union membership coverage: Adjusted for the right to unionize",
"Ireland","Trade union density rate (%)","LFS - Quarterly National Household Survey","2011",31.7,"Trade union membership coverage: Adjusted for the right to unionize",
"Ireland","Trade union density rate (%)","LFS - Quarterly National Household Survey","2010",31.8,"Trade union membership coverage: Adjusted for the right to unionize",
"Iceland","Trade union density rate (%)","LFS - Labour Force Survey","2019",91.42,"Trade union membership coverage: Adjusted for the right to unionize",
"Iceland","Trade union density rate (%)","LFS - Labour Force Survey","2018",90.57,"Trade union membership coverage: Adjusted for the right to unionize",
"Iceland","Trade union density rate (%)","LFS - Labour Force Survey","2017",90.81,"Trade union membership coverage: Adjusted for the right to unionize",
"Iceland","Trade union density rate (%)","LFS - Labour Force Survey","2016",90.5,"Trade union membership coverage: Adjusted for the right to unionize",
"Iceland","Trade union density rate (%)","LFS - Labour Force Survey","2015",91.62,"Trade union membership coverage: Adjusted for the right to unionize",
"Iceland","Trade union density rate (%)","LFS - Labour Force Survey","2014",90.49,"Trade union membership coverage: Adjusted for the right to unionize",
"Iceland","Trade union density rate (%)","LFS - Labour Force Survey","2013",90.24,"Trade union membership coverage: Adjusted for the right to unionize",
"Iceland","Trade union density rate (%)","LFS - Labour Force Survey","2012",87.43,"Trade union membership coverage: Adjusted for the right to unionize",
"Iceland","Trade union density rate (%)","LFS - Labour Force Survey","2011",86.27,"Trade union membership coverage: Adjusted for the right to unionize",
"Iceland","Trade union density rate (%)","LFS - Labour Force Survey","2010",86.53,"Trade union membership coverage: Adjusted for the right to unionize",
"Israel","Trade union density rate (%)","HS - Social Survey","2017",25.09,,
"Israel","Trade union density rate (%)","HS - Social Survey","2012",25.11,,
"Italy","Trade union density rate (%)","ADM - Administrative Records","2019",32.5,"Trade union membership coverage: Adjusted for the right to unionize",
"Italy","Trade union density rate (%)","ADM - Administrative Records","2018",32.64,"Trade union membership coverage: Adjusted for the right to unionize",
"Italy","Trade union density rate (%)","ADM - Administrative Records","2017",33.23,"Trade union membership coverage: Adjusted for the right to unionize",
"Italy","Trade union density rate (%)","ADM - Administrative Records","2016",33.57,"Trade union membership coverage: Adjusted for the right to unionize",
"Italy","Trade union density rate (%)","ADM - Administrative Records","2015",34.22,"Trade union membership coverage: Adjusted for the right to unionize",
"Italy","Trade union density rate (%)","ADM - Administrative Records","2014",35.39,"Trade union membership coverage: Adjusted for the right to unionize",
"Italy","Trade union density rate (%)","ADM - Administrative Records","2013",35.71,"Trade union membership coverage: Adjusted for the right to unionize",
"Italy","Trade union density rate (%)","ADM - Administrative Records","2012",35.46,"Trade union membership coverage: Adjusted for the right to unionize",
"Italy","Trade union density rate (%)","ADM - Administrative Records","2011",35.14,"Trade union membership coverage: Adjusted for the right to unionize",
"Italy","Trade union density rate (%)","ADM - Administrative Records","2010",35.32,"Trade union membership coverage: Adjusted for the right to unionize",
"Japan","Trade union density rate (%)","ES - Basic Survey on Labour Unions","2019",16.8,"Trade union membership coverage: Adjusted for the right to unionize",
"Japan","Trade union density rate (%)","ES - Basic Survey on Labour Unions","2018",16.96,"Trade union membership coverage: Adjusted for the right to unionize",
"Japan","Trade union density rate (%)","ES - Basic Survey on Labour Unions","2017",17.15,"Trade union membership coverage: Adjusted for the right to unionize",
"Japan","Trade union density rate (%)","ES - Basic Survey on Labour Unions","2016",17.35,"Trade union membership coverage: Adjusted for the right to unionize",
"Japan","Trade union density rate (%)","ES - Basic Survey on Labour Unions","2015",17.52,"Trade union membership coverage: Adjusted for the right to unionize",
"Japan","Trade union density rate (%)","ES - Basic Survey on Labour Unions","2014",17.6,"Trade union membership coverage: Adjusted for the right to unionize",
"Japan","Trade union density rate (%)","ES - Basic Survey on Labour Unions","2013",17.78,"Trade union membership coverage: Adjusted for the right to unionize",
"Japan","Trade union density rate (%)","ES - Basic Survey on Labour Unions","2012",17.97,"Trade union membership coverage: Adjusted for the right to unionize",
"Japan","Trade union density rate (%)","ES - Basic Survey on Labour Unions","2011",18.99,"Trade union membership coverage: Adjusted for the right to unionize",
"Japan","Trade union density rate (%)","ES - Basic Survey on Labour Unions","2010",18.4,"Trade union membership coverage: Adjusted for the right to unionize",
"Kazakhstan","Trade union density rate (%)","LFS - Sample Survey of Employment","2017",46.92,,
"Kazakhstan","Trade union density rate (%)","LFS - Sample Survey of Employment","2012",49.2,,
"Kazakhstan","Trade union density rate (%)","LFS - Sample Survey of Employment","2011",39.2,,
"Kazakhstan","Trade union density rate (%)","LFS - Sample Survey of Employment","2010",39.75,,
"Kenya","Trade union density rate (%)","HIES - Household Budget Survey","2019",9.7,,
"Kenya","Trade union density rate (%)","HIES - Household Budget Survey","2016",9.33,,
"Cambodia","Trade union density rate (%)","LFS - Labour Force Survey","2012",9.63,,
"Korea, Republic of","Trade union density rate (%)","ADM-RWO - Annual Survey of unions and union members","2020",12.37,,
"Korea, Republic of","Trade union density rate (%)","ADM-RWO - Annual Survey of unions and union members","2019",12.37,,
"Korea, Republic of","Trade union density rate (%)","ADM-RWO - Annual Survey of unions and union members","2018",12.48,,
"Korea, Republic of","Trade union density rate (%)","ADM-RWO - Annual Survey of unions and union members","2017",12.44,,
"Korea, Republic of","Trade union density rate (%)","ADM-RWO - Annual Survey of unions and union members","2016",12.02,,
"Korea, Republic of","Trade union density rate (%)","ADM-RWO - Annual Survey of unions and union members","2015",12.43,"Trade union membership coverage: Adjusted for the right to unionize",
"Korea, Republic of","Trade union density rate (%)","ADM-RWO - Annual Survey of unions and union members","2014",12.53,"Trade union membership coverage: Adjusted for the right to unionize",
"Korea, Republic of","Trade union density rate (%)","ADM-RWO - Annual Survey of unions and union members","2013",12.47,"Trade union membership coverage: Adjusted for the right to unionize",
"Korea, Republic of","Trade union density rate (%)","ADM-RWO - Annual Survey of unions and union members","2012",11.57,"Trade union membership coverage: Adjusted for the right to unionize",
"Korea, Republic of","Trade union density rate (%)","ADM-RWO - Annual Survey of unions and union members","2011",10.95,"Trade union membership coverage: Adjusted for the right to unionize",
"Korea, Republic of","Trade union density rate (%)","ADM-RWO - Annual Survey of unions and union members","2010",11.44,"Trade union membership coverage: Adjusted for the right to unionize",
"Lao People's Democratic Republic","Trade union density rate (%)","ADM - Trade Union Records","2010",15.5,,
"Liberia","Trade union density rate (%)","LFS - Labour Force Survey","2010",20.08,,
"Sri Lanka","Trade union density rate (%)","ADM - Labour Statistics","2019",10.1,,
"Sri Lanka","Trade union density rate (%)","ADM - Labour Statistics","2018",13.06,,
"Sri Lanka","Trade union density rate (%)","ADM - Labour Statistics","2016",15.33,,
"Sri Lanka","Trade union density rate (%)","ADM - Labour Statistics","2015",14.44,,
"Sri Lanka","Trade union density rate (%)","ADM - Labour Statistics","2014",9.05,,
"Sri Lanka","Trade union density rate (%)","ADM - Labour Statistics","2011",24.92,,
"Sri Lanka","Trade union density rate (%)","ADM - Labour Statistics","2010",11.54,,
"Lesotho","Trade union density rate (%)","ADM-RWO - Trade unions records","2019",4.75,,
"Lesotho","Trade union density rate (%)","ADM-RWO - Trade unions records","2010",9.72,,
"Lithuania","Trade union density rate (%)","ADM-RWO - Records of union confederations and independent unions","2019",7.36,"Trade union membership coverage: Adjusted for the right to unionize",
"Lithuania","Trade union density rate (%)","ADM-RWO - Records of union confederations and independent unions","2018",7.13,"Trade union membership coverage: Adjusted for the right to unionize",
"Lithuania","Trade union density rate (%)","ADM-RWO - Records of union confederations and independent unions","2017",7.73,"Trade union membership coverage: Adjusted for the right to unionize",
"Lithuania","Trade union density rate (%)","ADM-RWO - Records of union confederations and independent unions","2016",7.67,"Trade union membership coverage: Adjusted for the right to unionize",
"Lithuania","Trade union density rate (%)","ADM-RWO - Records of union confederations and independent unions","2015",7.86,"Trade union membership coverage: Adjusted for the right to unionize",
"Lithuania","Trade union density rate (%)","ADM-RWO - Records of union confederations and independent unions","2014",8.12,"Trade union membership coverage: Adjusted for the right to unionize",
"Lithuania","Trade union density rate (%)","ADM-RWO - Records of union confederations and independent unions","2013",8.36,"Trade union membership coverage: Adjusted for the right to unionize",
"Lithuania","Trade union density rate (%)","ADM-RWO - Records of union confederations and independent unions","2012",9.02,"Trade union membership coverage: Adjusted for the right to unionize",
"Lithuania","Trade union density rate (%)","ADM-RWO - Records of union confederations and independent unions","2011",9.72,"Trade union membership coverage: Adjusted for the right to unionize",
"Lithuania","Trade union density rate (%)","ADM-RWO - Records of union confederations and independent unions","2010",10.13,"Trade union membership coverage: Adjusted for the right to unionize",
"Luxembourg","Trade union density rate (%)","ADM-RWO - Records of affiliated and independent unions","2019",28.23,"Trade union membership coverage: Adjusted for the right to unionize","Reference group coverage: Including non residents"
"Luxembourg","Trade union density rate (%)","ADM-RWO - Records of affiliated and independent unions","2018",30.36,"Trade union membership coverage: Adjusted for the right to unionize","Reference group coverage: Including non residents"
"Luxembourg","Trade union density rate (%)","ADM-RWO - Records of affiliated and independent unions","2017",32.08,"Trade union membership coverage: Adjusted for the right to unionize","Reference group coverage: Including non residents"
"Luxembourg","Trade union density rate (%)","ADM-RWO - Records of affiliated and independent unions","2016",32.25,"Trade union membership coverage: Adjusted for the right to unionize","Reference group coverage: Including non residents"
"Luxembourg","Trade union density rate (%)","ADM-RWO - Records of affiliated and independent unions","2015",33.26,"Trade union membership coverage: Adjusted for the right to unionize","Reference group coverage: Including non residents"
"Luxembourg","Trade union density rate (%)","ADM-RWO - Records of affiliated and independent unions","2014",34.15,"Trade union membership coverage: Adjusted for the right to unionize","Reference group coverage: Including non residents"
"Luxembourg","Trade union density rate (%)","ADM-RWO - Records of affiliated and independent unions","2013",34.83,"Trade union membership coverage: Adjusted for the right to unionize","Reference group coverage: Including non residents"
"Luxembourg","Trade union density rate (%)","ADM-RWO - Records of affiliated and independent unions","2012",35.29,"Trade union membership coverage: Adjusted for the right to unionize","Reference group coverage: Including non residents"
"Luxembourg","Trade union density rate (%)","ADM-RWO - Records of affiliated and independent unions","2011",36.63,"Trade union membership coverage: Adjusted for the right to unionize","Reference group coverage: Including non residents"
"Luxembourg","Trade union density rate (%)","ADM-RWO - Records of affiliated and independent unions","2010",36.09,"Trade union membership coverage: Adjusted for the right to unionize","Reference group coverage: Including non residents"
"Latvia","Trade union density rate (%)","ADM-RWO - Trade unions records","2019",10.65,"Trade union membership coverage: Adjusted for the right to unionize",
"Latvia","Trade union density rate (%)","ADM-RWO - Trade unions records","2018",11.04,"Trade union membership coverage: Adjusted for the right to unionize",
"Latvia","Trade union density rate (%)","ADM-RWO - Trade unions records","2017",11.5,"Trade union membership coverage: Adjusted for the right to unionize",
"Latvia","Trade union density rate (%)","ADM-RWO - Trade unions records","2016",11.46,"Trade union membership coverage: Adjusted for the right to unionize",
"Latvia","Trade union density rate (%)","ADM-RWO - Trade unions records","2015",12.46,"Trade union membership coverage: Adjusted for the right to unionize",
"Latvia","Trade union density rate (%)","ADM-RWO - Trade unions records","2014",12.54,"Trade union membership coverage: Adjusted for the right to unionize",
"Latvia","Trade union density rate (%)","ADM-RWO - Trade unions records","2013",12.46,"Trade union membership coverage: Adjusted for the right to unionize",
"Latvia","Trade union density rate (%)","ADM-RWO - Trade unions records","2012",12.69,"Trade union membership coverage: Adjusted for the right to unionize",
"Latvia","Trade union density rate (%)","ADM-RWO - Trade unions records","2011",13,"Trade union membership coverage: Adjusted for the right to unionize",
"Latvia","Trade union density rate (%)","ADM-RWO - Trade unions records","2010",14.49,"Trade union membership coverage: Adjusted for the right to unionize",
"Morocco","Trade union density rate (%)","ADM - Other Administrative records and related sources, Strikes and Lockouts","2019",10.9,"Trade union membership coverage: Adjusted for the right to unionize",
"Morocco","Trade union density rate (%)","ADM - Other Administrative records and related sources, Strikes and Lockouts","2018",10.32,"Trade union membership coverage: Adjusted for the right to unionize",
"Morocco","Trade union density rate (%)","ADM - Other Administrative records and related sources, Strikes and Lockouts","2017",6.37,"Trade union membership coverage: Adjusted for the right to unionize",
"Morocco","Trade union density rate (%)","ADM - Other Administrative records and related sources, Strikes and Lockouts","2016",6.03,"Trade union membership coverage: Adjusted for the right to unionize",
"Moldova, Republic of","Trade union density rate (%)","LFS - Labour Force Survey","2019",18.58,,
"Moldova, Republic of","Trade union density rate (%)","LFS - Labour Force Survey","2018",20.02,,
"Moldova, Republic of","Trade union density rate (%)","LFS - Labour Force Survey","2017",22.44,,
"Moldova, Republic of","Trade union density rate (%)","LFS - Labour Force Survey","2016",23.9,,
"Moldova, Republic of","Trade union density rate (%)","LFS - Labour Force Survey","2015",24.05,,
"Moldova, Republic of","Trade union density rate (%)","LFS - Labour Force Survey","2014",29.65,,
"Moldova, Republic of","Trade union density rate (%)","LFS - Labour Force Survey","2013",28.3,,
"Madagascar","Trade union density rate (%)","LFS - Labour force Survey","2015",7.22,,
"Madagascar","Trade union density rate (%)","LFS - Labour force Survey","2012",10.37,,
"Mexico","Trade union density rate (%)","LFS - National Occupation and Employment Survey","2020",12.4,,
"Mexico","Trade union density rate (%)","LFS - National Occupation and Employment Survey","2019",12.4,,
"Mexico","Trade union density rate (%)","LFS - National Occupation and Employment Survey","2018",12,,
"Mexico","Trade union density rate (%)","LFS - National Occupation and Employment Survey","2017",12.5,,
"Mexico","Trade union density rate (%)","LFS - National Occupation and Employment Survey","2016",12.7,,
"Mexico","Trade union density rate (%)","LFS - National Occupation and Employment Survey","2015",13.1,,
"Mexico","Trade union density rate (%)","LFS - National Occupation and Employment Survey","2014",13.6,,
"Mexico","Trade union density rate (%)","LFS - National Occupation and Employment Survey","2013",13.8,,
"Mexico","Trade union density rate (%)","LFS - National Occupation and Employment Survey","2012",14,,
"Mexico","Trade union density rate (%)","LFS - National Occupation and Employment Survey","2011",14.7,,
"Mexico","Trade union density rate (%)","LFS - National Occupation and Employment Survey","2010",14.5,,
"North Macedonia","Trade union density rate (%)","ADM - Administrative records and related sources","2019",16.68,,
"North Macedonia","Trade union density rate (%)","ADM - Administrative records and related sources","2010",28,,
"Mali","Trade union density rate (%)","LFS - Continous Household Employment Survey","2018",7.52,,
"Mali","Trade union density rate (%)","LFS - Continous Household Employment Survey","2017",7.2,,
"Mali","Trade union density rate (%)","LFS - Continous Household Employment Survey","2016",16.45,,
"Mali","Trade union density rate (%)","LFS - Continous Household Employment Survey","2015",9.7,,
"Mali","Trade union density rate (%)","LFS - Continous Household Employment Survey","2014",18.87,,
"Mali","Trade union density rate (%)","LFS - Continous Household Employment Survey","2013",9.36,,
"Malta","Trade union density rate (%)","ADM-RWO - Trade unions records","2020",41.89,"Trade union membership coverage: Adjusted for the right to unionize",
"Malta","Trade union density rate (%)","ADM-RWO - Trade unions records","2019",42.87,"Trade union membership coverage: Adjusted for the right to unionize",
"Malta","Trade union density rate (%)","ADM-RWO - Trade unions records","2018",44.05,"Trade union membership coverage: Adjusted for the right to unionize",
"Malta","Trade union density rate (%)","ADM-RWO - Trade unions records","2017",46.88,"Trade union membership coverage: Adjusted for the right to unionize",
"Malta","Trade union density rate (%)","ADM-RWO - Trade unions records","2016",47.51,"Trade union membership coverage: Adjusted for the right to unionize",
"Malta","Trade union density rate (%)","ADM-RWO - Trade unions records","2015",48.57,"Trade union membership coverage: Adjusted for the right to unionize",
"Malta","Trade union density rate (%)","ADM-RWO - Trade unions records","2014",49.09,"Trade union membership coverage: Adjusted for the right to unionize",
"Malta","Trade union density rate (%)","ADM-RWO - Trade unions records","2013",51.05,"Trade union membership coverage: Adjusted for the right to unionize",
"Malta","Trade union density rate (%)","ADM-RWO - Trade unions records","2012",51.97,"Trade union membership coverage: Adjusted for the right to unionize",
"Malta","Trade union density rate (%)","ADM-RWO - Trade unions records","2011",52.74,"Trade union membership coverage: Adjusted for the right to unionize",
"Malta","Trade union density rate (%)","ADM-RWO - Trade unions records","2010",53.88,"Trade union membership coverage: Adjusted for the right to unionize",
"Myanmar","Trade union density rate (%)","LFS - Labour Force Survey","2015",1,,
"Montenegro","Trade union density rate (%)","OS - Estimations based on Administrative data","2012",25.83,,
"Mongolia","Trade union density rate (%)","OE - Official Estimates","2019",30.79,,
"Mongolia","Trade union density rate (%)","OE - Official Estimates","2018",32.85,,
"Mongolia","Trade union density rate (%)","OE - Official Estimates","2017",36.03,,
"Mongolia","Trade union density rate (%)","OE - Official Estimates","2016",38.25,,
"Mongolia","Trade union density rate (%)","OE - Official Estimates","2015",38.57,,
"Mongolia","Trade union density rate (%)","OE - Official Estimates","2014",39.82,,
"Mongolia","Trade union density rate (%)","OE - Official Estimates","2013",39.63,,
"Mongolia","Trade union density rate (%)","OE - Official Estimates","2012",42.16,,
"Mongolia","Trade union density rate (%)","OE - Official Estimates","2011",45.48,,
"Mongolia","Trade union density rate (%)","OE - Official Estimates","2010",44.53,,
"Mozambique","Trade union density rate (%)","OS - Estimations based on administrative data","2016",12.49,,
"Mauritania","Trade union density rate (%)","LFS - National Reference Survey on Employment and Informal Sector","2012",10.36,,
"Mauritius","Trade union density rate (%)","ADM-RWO - Ministry of Labour, Industrial Relations and Employment, Registrar of Associations","2018",27.68,,
"Mauritius","Trade union density rate (%)","ADM-RWO - Ministry of Labour, Industrial Relations and Employment, Registrar of Associations","2017",27.86,,
"Mauritius","Trade union density rate (%)","ADM-RWO - Ministry of Labour, Industrial Relations and Employment, Registrar of Associations","2016",28.17,,
"Mauritius","Trade union density rate (%)","ADM-RWO - Ministry of Labour, Industrial Relations and Employment, Registrar of Associations","2015",28.07,,
"Mauritius","Trade union density rate (%)","ADM-RWO - Ministry of Labour, Industrial Relations and Employment, Registrar of Associations","2012",27.05,,
"Mauritius","Trade union density rate (%)","ADM-RWO - Ministry of Labour, Industrial Relations and Employment, Registrar of Associations","2011",27.1,,
"Mauritius","Trade union density rate (%)","ADM-RWO - Ministry of Labour, Industrial Relations and Employment, Registrar of Associations","2010",23.03,,
"Malawi","Trade union density rate (%)","LFS - Labour Force Survey","2013",8.85,,
